product_id;product_name;quantity;zone;date;row;shelf
TEL-4567;Роутер RT-AC68U;45;A;2024-03-15;12;3
TEL-8901;Модем DSL-2640U;12;B;2024-03-15;5;2
NET-1234;Коммутатор SG-200;28;C;2024-03-16;8;1
CAB-5678;Патч-корд CAT6;156;A;2024-03-16;3;4
WIFI-9012;Точка доступа UAP-AC;34;B;2024-03-17;15;2
PHONE-3456;IP-телефон T46S;67;D;2024-03-17;6;1
SEC-7890;Видеокамера IPC-HFW;23;C;2024-03-18;11;3
PWR-2345;ИБП Back-UPS;19;A;2024-03-18;7;5
STOR-6789;Сетевой хранилищ;14;B;2024-03-19;9;2
ROUT-0123;Маршрутизатор ER-X;42;D;2024-03-19;4;4
TEL-1357;Роутер Archer C7;38;C;2024-03-20;13;1
NET-2468;Коммутатор TL-SG;51;A;2024-03-20;2;3
CAB-3579;Кабель UTP 5e;89;B;2024-03-21;10;5
WIFI-4680;Маршрутизатор AX10;27;D;2024-03-21;16;2
PHONE-5791;DECT телефон;45;C;2024-03-22;5;1
SEC-6802;Видеорегистратор;18;A;2024-03-22;8;4
PWR-7913;Стабилизатор;31;B;2024-03-23;12;3
STOR-8024;Жесткий диск 4TB;22;D;2024-03-23;14;2
ROUT-9135;Mesh система;49;C;2024-03-24;3;5
TEL-0246;Модем CM-1000;16;A;2024-03-24;11;1
NET-1357;Коммутатор 24 порта;37;B;2024-03-25;7;4
CAB-2468;Патч-панель;44;D;2024-03-25;9;3
WIFI-3579;Репитер Wi-Fi;58;C;2024-03-26;6;2
PHONE-4680;GSM шлюз;25;A;2024-03-26;15;5
SEC-5791;Домофон;41;B;2024-03-27;4;1
PWR-6802;Аккумулятор;33;D;2024-03-27;13;4
STOR-7913;SSD диск 1TB;29;C;2024-03-28;2;2
ROUT-8024;Маршрутизатор AC1200;47;A;2024-03-28;10;3
TEL-9135;VoIP телефон;19;B;2024-03-29;8;1
NET-0246;Медиаконвертер;26;D;2024-03-29;12;5
CAB-1357;Кабель оптический;52;C;2024-03-30;5;4
